,id,chan,dir,ptc,xhigh,xlow,yhigh,ylow
0,0,SINK,,0,0,0,1,1
1,1,SOURCE,,1,0,0,1,1
2,2,SINK,,2,0,0,1,1
3,3,SINK,,3,0,0,1,1
4,4,SOURCE,,4,0,0,1,1
5,5,SINK,,5,0,0,1,1
6,6,SINK,,6,0,0,1,1
7,7,SOURCE,,7,0,0,1,1
8,8,SINK,,8,0,0,1,1
9,9,SINK,,9,0,0,1,1
10,10,SOURCE,,10,0,0,1,1
11,11,SINK,,11,0,0,1,1
12,12,SINK,,12,0,0,1,1
13,13,SOURCE,,13,0,0,1,1
14,14,SINK,,14,0,0,1,1
15,15,SINK,,15,0,0,1,1
16,16,SOURCE,,16,0,0,1,1
17,17,SINK,,17,0,0,1,1
18,18,SINK,,18,0,0,1,1
19,19,SOURCE,,19,0,0,1,1
20,20,SINK,,20,0,0,1,1
21,21,SINK,,21,0,0,1,1
22,22,SOURCE,,22,0,0,1,1
23,23,SINK,,23,0,0,1,1
24,24,IPIN,,0,0,0,1,1
25,25,OPIN,,1,0,0,1,1
26,26,IPIN,,2,0,0,1,1
27,27,IPIN,,3,0,0,1,1
28,28,OPIN,,4,0,0,1,1
29,29,IPIN,,5,0,0,1,1
30,30,IPIN,,6,0,0,1,1
31,31,OPIN,,7,0,0,1,1
32,32,IPIN,,8,0,0,1,1
33,33,IPIN,,9,0,0,1,1
34,34,OPIN,,10,0,0,1,1
35,35,IPIN,,11,0,0,1,1
36,36,IPIN,,12,0,0,1,1
37,37,OPIN,,13,0,0,1,1
38,38,IPIN,,14,0,0,1,1
39,39,IPIN,,15,0,0,1,1
40,40,OPIN,,16,0,0,1,1
41,41,IPIN,,17,0,0,1,1
42,42,IPIN,,18,0,0,1,1
43,43,OPIN,,19,0,0,1,1
44,44,IPIN,,20,0,0,1,1
45,45,IPIN,,21,0,0,1,1
46,46,OPIN,,22,0,0,1,1
47,47,IPIN,,23,0,0,1,1
48,48,SINK,,0,1,1,0,0
49,49,SOURCE,,1,1,1,0,0
50,50,SINK,,2,1,1,0,0
51,51,SINK,,3,1,1,0,0
52,52,SOURCE,,4,1,1,0,0
53,53,SINK,,5,1,1,0,0
54,54,SINK,,6,1,1,0,0
55,55,SOURCE,,7,1,1,0,0
56,56,SINK,,8,1,1,0,0
57,57,SINK,,9,1,1,0,0
58,58,SOURCE,,10,1,1,0,0
59,59,SINK,,11,1,1,0,0
60,60,SINK,,12,1,1,0,0
61,61,SOURCE,,13,1,1,0,0
62,62,SINK,,14,1,1,0,0
63,63,SINK,,15,1,1,0,0
64,64,SOURCE,,16,1,1,0,0
65,65,SINK,,17,1,1,0,0
66,66,SINK,,18,1,1,0,0
67,67,SOURCE,,19,1,1,0,0
68,68,SINK,,20,1,1,0,0
69,69,SINK,,21,1,1,0,0
70,70,SOURCE,,22,1,1,0,0
71,71,SINK,,23,1,1,0,0
72,72,IPIN,,0,1,1,0,0
73,73,OPIN,,1,1,1,0,0
74,74,IPIN,,2,1,1,0,0
75,75,IPIN,,3,1,1,0,0
76,76,OPIN,,4,1,1,0,0
77,77,IPIN,,5,1,1,0,0
78,78,IPIN,,6,1,1,0,0
79,79,OPIN,,7,1,1,0,0
80,80,IPIN,,8,1,1,0,0
81,81,IPIN,,9,1,1,0,0
82,82,OPIN,,10,1,1,0,0
83,83,IPIN,,11,1,1,0,0
84,84,IPIN,,12,1,1,0,0
85,85,OPIN,,13,1,1,0,0
86,86,IPIN,,14,1,1,0,0
87,87,IPIN,,15,1,1,0,0
88,88,OPIN,,16,1,1,0,0
89,89,IPIN,,17,1,1,0,0
90,90,IPIN,,18,1,1,0,0
91,91,OPIN,,19,1,1,0,0
92,92,IPIN,,20,1,1,0,0
93,93,IPIN,,21,1,1,0,0
94,94,OPIN,,22,1,1,0,0
95,95,IPIN,,23,1,1,0,0
96,96,SINK,,0,1,1,1,1
97,97,SINK,,1,1,1,1,1
98,98,SINK,,2,1,1,1,1
99,99,SINK,,3,1,1,1,1
100,100,SINK,,4,1,1,1,1
101,101,SINK,,5,1,1,1,1
102,102,SINK,,6,1,1,1,1
103,103,SINK,,7,1,1,1,1
104,104,SOURCE,,8,1,1,1,1
105,105,SOURCE,,9,1,1,1,1
106,106,SOURCE,,10,1,1,1,1
107,107,SOURCE,,11,1,1,1,1
108,108,SOURCE,,12,1,1,1,1
109,109,SOURCE,,13,1,1,1,1
110,110,SOURCE,,14,1,1,1,1
111,111,SOURCE,,15,1,1,1,1
112,112,SINK,,16,1,1,1,1
113,113,IPIN,,0,1,1,1,1
114,114,IPIN,,1,1,1,1,1
115,115,IPIN,,2,1,1,1,1
116,116,IPIN,,3,1,1,1,1
117,117,IPIN,,4,1,1,1,1
118,118,IPIN,,5,1,1,1,1
119,119,IPIN,,6,1,1,1,1
120,120,IPIN,,7,1,1,1,1
121,121,IPIN,,8,1,1,1,1
122,122,IPIN,,9,1,1,1,1
123,123,IPIN,,10,1,1,1,1
124,124,IPIN,,11,1,1,1,1
125,125,IPIN,,12,1,1,1,1
126,126,IPIN,,13,1,1,1,1
127,127,IPIN,,14,1,1,1,1
128,128,IPIN,,15,1,1,1,1
129,129,IPIN,,16,1,1,1,1
130,130,IPIN,,17,1,1,1,1
131,131,IPIN,,18,1,1,1,1
132,132,IPIN,,19,1,1,1,1
133,133,IPIN,,20,1,1,1,1
134,134,IPIN,,21,1,1,1,1
135,135,IPIN,,22,1,1,1,1
136,136,IPIN,,23,1,1,1,1
137,137,IPIN,,24,1,1,1,1
138,138,IPIN,,25,1,1,1,1
139,139,IPIN,,26,1,1,1,1
140,140,IPIN,,27,1,1,1,1
141,141,IPIN,,28,1,1,1,1
142,142,IPIN,,29,1,1,1,1
143,143,IPIN,,30,1,1,1,1
144,144,IPIN,,31,1,1,1,1
145,145,OPIN,,32,1,1,1,1
146,146,OPIN,,33,1,1,1,1
147,147,OPIN,,34,1,1,1,1
148,148,OPIN,,35,1,1,1,1
149,149,OPIN,,36,1,1,1,1
150,150,OPIN,,37,1,1,1,1
151,151,OPIN,,38,1,1,1,1
152,152,OPIN,,39,1,1,1,1
153,153,IPIN,,40,1,1,1,1
154,154,SINK,,0,1,1,2,2
155,155,SOURCE,,1,1,1,2,2
156,156,SINK,,2,1,1,2,2
157,157,SINK,,3,1,1,2,2
158,158,SOURCE,,4,1,1,2,2
159,159,SINK,,5,1,1,2,2
160,160,SINK,,6,1,1,2,2
161,161,SOURCE,,7,1,1,2,2
162,162,SINK,,8,1,1,2,2
163,163,SINK,,9,1,1,2,2
164,164,SOURCE,,10,1,1,2,2
165,165,SINK,,11,1,1,2,2
166,166,SINK,,12,1,1,2,2
167,167,SOURCE,,13,1,1,2,2
168,168,SINK,,14,1,1,2,2
169,169,SINK,,15,1,1,2,2
170,170,SOURCE,,16,1,1,2,2
171,171,SINK,,17,1,1,2,2
172,172,SINK,,18,1,1,2,2
173,173,SOURCE,,19,1,1,2,2
174,174,SINK,,20,1,1,2,2
175,175,SINK,,21,1,1,2,2
176,176,SOURCE,,22,1,1,2,2
177,177,SINK,,23,1,1,2,2
178,178,IPIN,,0,1,1,2,2
179,179,OPIN,,1,1,1,2,2
180,180,IPIN,,2,1,1,2,2
181,181,IPIN,,3,1,1,2,2
182,182,OPIN,,4,1,1,2,2
183,183,IPIN,,5,1,1,2,2
184,184,IPIN,,6,1,1,2,2
185,185,OPIN,,7,1,1,2,2
186,186,IPIN,,8,1,1,2,2
187,187,IPIN,,9,1,1,2,2
188,188,OPIN,,10,1,1,2,2
189,189,IPIN,,11,1,1,2,2
190,190,IPIN,,12,1,1,2,2
191,191,OPIN,,13,1,1,2,2
192,192,IPIN,,14,1,1,2,2
193,193,IPIN,,15,1,1,2,2
194,194,OPIN,,16,1,1,2,2
195,195,IPIN,,17,1,1,2,2
196,196,IPIN,,18,1,1,2,2
197,197,OPIN,,19,1,1,2,2
198,198,IPIN,,20,1,1,2,2
199,199,IPIN,,21,1,1,2,2
200,200,OPIN,,22,1,1,2,2
201,201,IPIN,,23,1,1,2,2
202,202,SINK,,0,2,2,1,1
203,203,SOURCE,,1,2,2,1,1
204,204,SINK,,2,2,2,1,1
205,205,SINK,,3,2,2,1,1
206,206,SOURCE,,4,2,2,1,1
207,207,SINK,,5,2,2,1,1
208,208,SINK,,6,2,2,1,1
209,209,SOURCE,,7,2,2,1,1
210,210,SINK,,8,2,2,1,1
211,211,SINK,,9,2,2,1,1
212,212,SOURCE,,10,2,2,1,1
213,213,SINK,,11,2,2,1,1
214,214,SINK,,12,2,2,1,1
215,215,SOURCE,,13,2,2,1,1
216,216,SINK,,14,2,2,1,1
217,217,SINK,,15,2,2,1,1
218,218,SOURCE,,16,2,2,1,1
219,219,SINK,,17,2,2,1,1
220,220,SINK,,18,2,2,1,1
221,221,SOURCE,,19,2,2,1,1
222,222,SINK,,20,2,2,1,1
223,223,SINK,,21,2,2,1,1
224,224,SOURCE,,22,2,2,1,1
225,225,SINK,,23,2,2,1,1
226,226,IPIN,,0,2,2,1,1
227,227,OPIN,,1,2,2,1,1
228,228,IPIN,,2,2,2,1,1
229,229,IPIN,,3,2,2,1,1
230,230,OPIN,,4,2,2,1,1
231,231,IPIN,,5,2,2,1,1
232,232,IPIN,,6,2,2,1,1
233,233,OPIN,,7,2,2,1,1
234,234,IPIN,,8,2,2,1,1
235,235,IPIN,,9,2,2,1,1
